Unit Type,Unit,Description,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
A1,,Rent,87500,87500,87500,87500,87500,87500
A1,,Concession,-5000,-5000,-3000,-3000,-1000,0
A2,,Rent,112000,112000,112000,112000,112000,112000
A2,,Pet Fee,1200,1200,1200,1200,1200,1200
B1,,Rent,64000,64000,64000,67200,67200,67200
B1,,MTM Fee,800,800,800,0,0,0
,0101,Rent,1250,1250,1250,1250,1250,1250
,0102,Rent,1250,1250,1250,1250,1250,1250
,0103,Rent,1400,1400,1400,1400,1400,1400
,0103,Concession,-200,-200,0,0,0,0
,0104,Rent,1600,1600,1600,1600,1600,1600
,0105,Rent,1350,1350,1350,1350,1350,1350
,0105,MTM Fee,150,150,0,0,0,0
